iter	RMSE
0	7903.5515
1	7376.747125
2	6895.154739
3	6468.409469
4	6088.861619
5	5751.356107
6	5441.847144
7	5161.220214
8	4908.59787
9	4693.632488
10	4479.122445
11	4286.560987
12	4129.034574
13	3967.486874
14	3819.728276
15	3699.829401
16	3573.096542
17	3471.149971
18	3369.2028
19	3269.822121
20	3194.871366
21	3117.698602
22	3057.117989
23	2994.530576
24	2946.043529
25	2896.442221
26	2847.272142
27	2808.587933
28	2771.090477
29	2735.30737
30	2683.019864
31	2646.938838
32	2618.583896
33	2593.893035
34	2566.574167
35	2537.275956
36	2519.812859
37	2501.473102
38	2483.516511
39	2461.514604
40	2438.94802
41	2424.032811
42	2412.690639
43	2393.257849
44	2378.012513
45	2368.914558
46	2355.44162
47	2344.188277
48	2334.194447
49	2323.383175
50	2312.524744
51	2298.91625
52	2285.96124
53	2278.30606
54	2266.23469
55	2250.773623
56	2240.881069
57	2233.615802
58	2222.914595
59	2215.879156
60	2202.500959
61	2195.036583
62	2184.813967
63	2175.728223
64	2166.590195
65	2158.85372
66	2152.894592
67	2142.181405
68	2137.214389
69	2131.986515
70	2122.553766
71	2114.926052
72	2109.176126
73	2102.390286
74	2096.613476
75	2092.010423
76	2089.79681
77	2077.498017
78	2072.488318
79	2059.99436
80	2052.783568
81	2044.052683
82	2037.763914
83	2032.779517
84	2026.978482
85	2020.827657
86	2017.169891
87	2009.743905
88	2002.20678
89	1996.21712
90	1993.101541
91	1986.591824
92	1983.574204
93	1980.362829
94	1974.374495
95	1969.718216
96	1965.12281
97	1959.88322
98	1954.870845
99	1950.537114
100	1947.999779
101	1942.345071
102	1938.126335
103	1933.423562
104	1931.432271
105	1928.023815
106	1922.124723
107	1915.630459
108	1911.465284
109	1908.342767
110	1904.197071
111	1900.511024
112	1894.680222
113	1892.424118
114	1889.529358
115	1885.519841
116	1880.355634
117	1875.743325
118	1872.116375
119	1869.981917
120	1866.884381
121	1863.686395
122	1860.340597
123	1855.724183
124	1851.367037
125	1846.655125
126	1844.723021
127	1841.02203
128	1836.692436
129	1828.085469
130	1824.368116
131	1818.993355
132	1815.701744
133	1810.956449
134	1808.98394
135	1804.961373
136	1802.190085
137	1800.487987
