iter	Passed	Remaining
0	2	2063
1	4	2201
2	10	3446
3	11	2904
4	12	2584
5	14	2399
6	15	2176
7	16	1994
8	16	1858
9	18	1836
10	19	1733
11	20	1650
12	20	1573
13	21	1510
14	22	1453
15	22	1401
16	23	1355
17	24	1314
18	24	1277
19	25	1243
20	26	1212
21	26	1185
22	27	1159
23	28	1163
24	30	1182
25	31	1191
26	33	1200
27	34	1212
28	36	1225
29	38	1233
30	39	1247
31	41	1244
32	41	1224
33	42	1204
34	43	1186
35	44	1193
36	45	1189
37	46	1175
38	47	1182
39	49	1188
40	51	1195
41	52	1208
42	54	1213
43	56	1218
44	57	1221
45	58	1223
46	60	1227
47	62	1242
48	64	1244
49	65	1247
50	67	1250
51	68	1253
52	70	1254
53	71	1257
54	73	1258
55	75	1264
56	76	1264
57	77	1264
58	79	1264
59	80	1265
60	82	1266
61	83	1266
62	85	1266
63	86	1267
64	88	1272
65	89	1272
66	91	1272
67	92	1274
68	94	1274
69	96	1275
70	98	1284
71	99	1286
72	101	1287
73	102	1287
74	104	1293
75	108	1317
76	110	1320
77	111	1316
78	113	1317
79	114	1316
80	116	1321
81	118	1321
82	119	1320
83	121	1321
84	122	1321
85	124	1322
86	126	1322
87	127	1321
88	129	1320
89	130	1321
90	132	1320
91	133	1319
92	135	1318
93	136	1317
94	138	1316
95	139	1315
96	141	1314
97	142	1314
98	144	1312
99	145	1311
100	147	1310
101	148	1310
102	150	1310
103	152	1310
104	153	1309
105	155	1308
106	156	1306
107	158	1305
108	159	1303
109	160	1301
110	162	1300
111	163	1299
112	165	1298
113	166	1296
114	168	1295
115	169	1293
116	171	1293
117	172	1292
118	174	1291
119	175	1290
120	177	1288
121	178	1287
122	180	1285
123	181	1285
124	183	1284
125	185	1283
126	186	1281
127	187	1279
128	189	1278
129	190	1276
130	192	1275
131	193	1274
132	195	1276
133	197	1276
134	199	1277
135	200	1276
136	202	1275
137	204	1274
138	205	1273
139	207	1272
140	208	1270
141	210	1269
142	211	1268
143	213	1267
144	214	1266
145	216	1265
146	217	1264
147	219	1263
148	221	1263
149	222	1261
150	224	1260
151	225	1259
152	227	1258
153	228	1257
154	230	1255
155	231	1254
156	233	1253
157	235	1252
158	236	1251
159	238	1249
160	239	1248
161	241	1247
162	242	1246
163	244	1245
164	245	1243
165	247	1242
166	248	1240
167	250	1240
168	251	1239
169	253	1237
170	254	1235
171	256	1234
172	257	1232
173	259	1230
174	260	1229
175	262	1227
176	263	1226
177	265	1224
178	266	1223
179	268	1221
180	269	1220
181	271	1219
182	272	1217
183	274	1216
184	275	1214
185	277	1213
186	278	1212
187	280	1211
188	282	1210
189	283	1208
190	285	1208
191	286	1206
192	288	1205
193	289	1204
194	291	1202
195	293	1202
196	294	1201
197	296	1200
198	298	1200
199	300	1200
200	301	1197
201	302	1194
202	304	1194
203	305	1191
204	306	1187
205	307	1183
206	307	1179
207	308	1175
208	309	1171
209	310	1167
210	311	1163
211	311	1159
212	312	1156
213	313	1152
214	314	1147
215	315	1143
216	316	1140
217	317	1139
218	319	1138
219	320	1137
220	322	1136
221	323	1135
222	325	1134
223	327	1133
224	328	1131
225	329	1126
226	329	1122
227	331	1120
228	332	1119
229	334	1118
230	335	1117
231	337	1116
232	338	1114
233	340	1113
234	341	1112
235	343	1111
236	344	1110
237	346	1109
238	348	1108
239	349	1106
240	351	1105
241	352	1104
242	354	1103
243	355	1101
244	357	1100
245	358	1099
246	360	1098
247	361	1096
248	363	1095
249	364	1093
250	365	1091
251	367	1091
252	369	1089
253	371	1089
254	372	1086
255	373	1084
256	373	1080
257	374	1078
258	376	1076
259	376	1072
260	377	1069
261	378	1065
262	379	1063
263	380	1061
264	381	1059
265	382	1056
266	384	1054
267	385	1053
268	386	1050
269	387	1047
270	388	1045
271	389	1043
272	390	1040
273	391	1038
274	392	1035
275	394	1033
276	395	1032
277	396	1029
278	397	1026
279	398	1024
280	399	1023
281	401	1021
282	402	1019
283	403	1018
284	405	1016
285	406	1014
286	407	1012
287	409	1011
288	410	1009
289	411	1008
290	413	1007
291	415	1006
292	416	1005
293	418	1004
294	419	1003
295	421	1002
296	422	1000
297	424	999
298	425	998
299	427	997
300	428	996
301	430	995
302	432	993
303	433	992
304	435	991
305	436	990
306	438	990
307	440	989
308	442	988
309	443	987
310	445	986
311	447	985
312	448	985
313	450	983
314	451	982
315	453	981
316	455	980
317	456	979
318	458	978
319	460	978
320	462	977
321	463	976
322	465	975
323	467	974
324	468	973
325	470	973
326	472	972
327	474	971
328	476	971
329	477	970
330	479	969
331	480	967
332	482	965
333	483	963
334	484	961
335	485	959
336	486	956
337	487	953
338	488	951
339	489	949
340	490	947
341	491	945
342	492	942
343	493	941
344	494	939
345	496	938
346	497	936
347	499	935
348	500	933
349	501	931
350	502	929
351	504	928
352	505	926
353	506	924
354	508	923
355	509	921
356	510	919
357	511	917
358	512	915
359	514	914
360	515	912
361	516	910
362	518	909
363	519	908
364	521	907
365	523	906
366	525	905
367	527	905
368	528	904
369	530	902
370	531	901
371	533	900
372	535	899
373	536	898
374	538	897
375	540	896
376	542	895
377	543	894
378	545	893
379	547	892
380	548	891
381	550	890
382	552	890
383	554	889
384	556	888
385	557	887
386	559	885
387	560	884
388	562	882
389	563	881
390	565	880
391	566	878
392	568	877
393	569	876
394	571	874
395	572	873
396	574	872
397	576	871
398	576	869
399	578	867
400	580	866
401	581	865
402	583	864
403	585	863
404	586	862
405	588	861
406	590	860
407	592	859
408	593	858
409	595	857
410	597	856
411	599	855
412	600	853
413	602	852
414	603	851
415	605	850
416	607	848
417	608	847
418	610	846
419	611	845
420	613	843
421	615	842
422	616	841
423	618	839
424	619	838
425	621	836
426	622	835
427	624	834
428	625	832
429	627	831
430	628	830
431	630	829
432	632	827
433	633	826
434	635	825
435	636	823
436	638	822
437	639	820
438	641	819
439	643	818
440	645	817
441	646	816
442	648	815
443	649	813
444	651	812
445	653	811
446	654	810
447	656	809
448	658	807
449	660	806
450	661	805
451	663	804
452	665	803
453	666	802
454	668	800
455	669	799
456	671	797
457	673	796
458	674	794
459	676	793
460	677	792
461	679	790
462	680	789
463	682	788
464	684	787
465	685	785
466	687	784
467	689	783
468	690	781
469	691	780
470	693	778
471	694	777
472	696	775
473	698	775
474	700	773
475	701	772
476	703	771
477	704	769
478	706	768
479	707	766
480	709	765
481	711	764
482	712	762
483	713	761
484	715	759
485	717	759
486	719	757
487	721	756
488	723	756
489	725	755
490	727	753
491	728	752
492	730	751
493	732	749
494	733	748
495	735	747
496	736	745
497	738	744
498	740	743
499	742	742
500	745	742
501	747	741
502	749	740
503	751	739
504	752	737
505	753	735
506	754	733
507	755	731
508	756	729
509	757	727
510	758	725
511	759	723
512	760	721
513	760	719
514	761	717
515	762	715
516	764	713
517	765	712
518	767	710
519	768	709
520	770	708
521	771	706
522	773	705
523	774	703
524	776	702
525	777	700
526	779	699
527	780	697
528	782	696
529	783	694
530	785	693
531	786	692
532	788	690
533	790	689
534	791	687
535	793	686
536	794	685
537	796	683
538	797	682
539	799	680
540	800	679
541	802	678
542	803	676
543	805	675
544	806	673
545	808	672
546	810	670
547	811	669
548	813	668
549	814	666
550	816	665
551	817	663
552	819	662
553	821	661
554	822	659
555	824	658
556	825	656
557	827	655
558	828	653
559	830	652
560	831	651
561	833	649
562	835	648
563	836	646
564	838	645
565	839	643
566	841	642
567	843	641
568	844	639
569	846	638
570	847	637
571	849	635
572	850	634
573	852	633
574	855	631
575	856	630
576	858	629
577	859	627
578	861	626
579	862	624
580	864	623
581	866	621
582	867	620
583	869	619
584	871	618
585	873	616
586	874	615
587	876	613
588	877	612
589	879	611
590	880	609
591	882	608
592	883	606
593	885	605
594	886	603
595	888	602
596	889	600
597	891	599
598	893	597
599	895	596
600	896	595
601	898	593
602	900	592
603	901	591
604	903	589
605	904	588
606	906	586
607	907	585
608	909	583
609	910	582
610	912	580
611	913	579
612	915	577
613	917	576
614	918	575
615	920	573
616	921	572
617	923	570
618	924	569
619	926	567
620	927	566
621	929	564
622	931	563
623	932	562
624	934	560
625	936	559
626	937	557
627	939	556
628	941	555
629	943	553
630	944	552
631	946	550
632	947	549
633	949	548
634	950	546
635	952	545
636	954	543
637	955	542
638	957	541
639	959	539
640	961	538
641	962	536
642	965	535
643	966	534
644	968	532
645	969	531
646	971	529
647	972	528
648	974	526
649	975	525
650	977	523
651	978	522
652	980	520
653	981	519
654	983	517
655	984	516
656	986	515
657	988	513
658	989	512
659	991	510
660	993	509
661	994	507
662	996	506
663	997	504
664	999	503
665	1000	501
666	1002	500
667	1003	498
668	1005	497
669	1006	495
670	1008	494
671	1009	492
672	1011	491
673	1012	489
674	1014	488
675	1016	486
676	1017	485
677	1019	484
678	1020	482
679	1022	481
680	1023	479
681	1025	478
682	1026	476
683	1028	475
684	1030	473
685	1031	472
686	1033	470
687	1035	469
688	1036	467
689	1037	466
690	1039	464
691	1041	463
692	1042	461
693	1044	460
694	1045	458
695	1047	457
696	1048	455
697	1050	454
698	1051	452
699	1053	451
700	1054	449
701	1056	448
702	1058	447
703	1060	445
704	1061	444
705	1064	443
706	1066	441
707	1068	440
708	1069	439
709	1071	437
710	1072	436
711	1075	434
712	1076	433
713	1078	432
714	1080	430
715	1081	429
716	1083	427
717	1084	426
718	1086	424
719	1087	423
720	1089	421
721	1091	420
722	1093	418
723	1094	417
724	1096	415
725	1098	414
726	1099	412
727	1101	411
728	1102	409
729	1104	408
730	1105	406
731	1107	405
732	1109	404
733	1110	402
734	1112	401
735	1113	399
736	1115	397
737	1116	396
738	1118	394
739	1119	393
740	1121	391
741	1122	390
742	1124	388
743	1125	387
744	1127	385
745	1128	384
746	1130	382
747	1132	381
748	1133	379
749	1135	378
750	1137	377
751	1139	375
752	1140	374
753	1142	372
754	1144	371
755	1145	369
756	1147	368
757	1148	366
758	1150	365
759	1151	363
760	1153	362
761	1155	360
762	1157	359
763	1158	357
764	1160	356
765	1162	355
766	1164	353
767	1166	352
768	1167	350
769	1169	349
770	1170	347
771	1172	346
772	1174	344
773	1175	343
774	1177	341
775	1178	340
776	1180	338
777	1181	337
778	1183	335
779	1184	334
780	1186	332
781	1187	331
782	1189	329
783	1191	328
784	1192	326
785	1194	325
786	1195	323
787	1197	322
788	1198	320
789	1200	319
790	1201	317
791	1203	316
792	1204	314
793	1206	313
794	1207	311
795	1209	309
796	1211	308
797	1212	306
798	1214	305
799	1215	303
800	1217	302
801	1218	300
802	1220	299
803	1221	297
804	1223	296
805	1225	294
806	1226	293
807	1228	291
808	1229	290
809	1231	288
810	1233	287
811	1234	285
812	1236	284
813	1237	282
814	1239	281
815	1241	279
816	1242	278
817	1244	276
818	1245	275
819	1247	273
820	1249	272
821	1251	270
822	1252	269
823	1254	267
824	1256	266
825	1258	265
826	1259	263
827	1261	262
828	1263	260
829	1264	259
830	1266	257
831	1267	256
832	1269	254
833	1271	253
834	1272	251
835	1274	249
836	1275	248
837	1277	246
838	1278	245
839	1280	243
840	1282	242
841	1283	240
842	1285	239
843	1286	237
844	1288	236
845	1290	234
846	1291	233
